timestamp,side,quantity,price,calculated_amount,fee,PnL,Cumulative_PnL
2024-03-08 17:39:00,1,0.00010557,94666000,9993.88962,4.99,-9998.87962,6084670.24898
2024-03-08 17:40:00,1,0.00637026,94746000,603556.65396,301.77,-603858.42396,5480811.825019999
2024-03-08 17:40:00,1,0.00105545,94746000,99999.66570000001,49.99,-100049.65570000002,5380762.169319999
2024-03-08 17:43:00,1,0.00527289,94730000,499500.8697,249.75,-499750.6197,4881011.54962
2024-03-08 17:43:00,1,0.01804057,94730000,1708983.1960999998,854.49,-1709837.6860999998,3171173.86352
2024-03-08 17:43:00,1,0.01969008,94730000,1865241.2784,932.62,-1866173.8984,1304999.96512
2024-03-08 17:43:00,1,0.00699646,94730000,662774.6558000001,331.38,-663106.0358000001,641893.92932
2024-03-08 18:06:00,0,0.05,94549000,4727450.0,2363.72,4725086.28,5366980.20932
2024-03-08 18:11:00,0,0.002,94553000,189106.0,94.55,189011.45,5555991.659320001
2024-03-08 18:15:00,1,0.00903406,94820000,856609.5692,428.3,-857037.8692000001,4698953.79012
2024-03-08 18:15:00,1,0.00285323,94803000,270494.76369,135.24,-270630.00369,4428323.78643
2024-03-08 18:23:00,1,0.00105694,94612000,99999.20727999999,49.99,-100049.19728,4328274.58915
2024-03-08 18:23:00,1,0.03361931,94612000,3180790.15772,1590.39,-3182380.54772,1145894.0414300002
2024-03-08 18:26:00,1,0.00437184,94733000,414157.51872,207.07,-414364.58872,731529.4527100002
2024-03-08 18:26:00,1,0.0114,94733000,1079956.2,539.97,-1080496.17,-348966.7172899997
2024-03-08 18:36:00,0,0.05,94612000,4730600.0,2365.3,4728234.7,4379267.98271
2024-03-08 19:13:00,0,0.05,94609000,4730450.0,2365.22,4728084.78,9107352.762710001
2024-03-08 20:38:00,1,0.04570766,94814000,4333726.07524,2166.86,-4335892.9352400005,4771459.827470001
2024-03-08 20:38:00,1,0.00094921,94814000,89998.39694,44.99,-90043.38694000001,4681416.440530001
2024-03-08 20:38:00,1,0.05,94809000,4740450.0,2370.22,-4742820.22,-61403.77946999855
