timestamp|side|price|quantity|calculated_amount|fee|PnL|cumulative_PnL|current_quantity
2024-03-08 07:12:00|1|94638000|0.02042659|1933131.6244200002|966.56|1932165.0644200002|-4019010.3029099996|0.04215680000000003
2024-03-08 07:12:00|1|94638000|0.00833276|788595.7408799999|394.29|788201.4508799999|-3230808.8520299997|0.03382404000000003
2024-03-08 07:12:00|1|94638000|0.02124065|2010172.6347|1005.08|2009167.5547|-1221641.2973299997|0.012583390000000028
2024-03-08 07:36:00|0|94502000|0.00694061|655901.52622|327.95|-656229.47622|-1877870.7735499996|0.019524000000000027
2024-03-08 07:39:00|0|94464000|0.00546905|516628.3392|258.31|-516886.6492|-2394757.4227499994|0.024993050000000027
2024-03-08 07:39:00|0|94464000|0.00016548|15631.90272|7.81|-15639.71272|-2410397.1354699996|0.025158530000000026
2024-03-08 07:43:00|1|94333000|0.0251|2367758.3000000003|1183.87|2366574.43|-43822.70546999946|5.853000000002537e-05
2024-03-08 07:45:00|0|94267000|0.01631399|1537870.89533|768.93|-1538639.82533|-1582462.5307999994|0.016372520000000026
2024-03-08 07:45:00|0|94304000|0.00552269|520811.75776|260.4|-521072.15776000003|-2103534.688559999|0.021895210000000026
2024-03-08 07:45:00|0|94309000|0.05|4715450.0|2357.72|-4717807.72|-6821342.4085599985|0.07189521000000003
2024-03-08 08:16:00|1|94357000|0.01084609|1023404.5141299999|511.7|1022892.81413|-5798449.594429999|0.061049120000000026
2024-03-08 08:16:00|1|94357000|0.004|377428.0|188.71|377239.29|-5421210.304429999|0.05704912000000002
2024-03-08 08:16:00|1|94357000|0.0105|990748.5000000001|495.37|990253.1300000001|-4430957.174429999|0.04654912000000002
2024-03-08 08:16:00|1|94357000|0.00064049|60434.714929999995|30.21|60404.504929999996|-4370552.669499999|0.04590863000000002
2024-03-08 08:16:00|1|94357000|0.0024|226456.8|113.22|226343.58|-4144209.089499999|0.04350863000000002
2024-03-08 08:17:00|0|94302000|0.05|4715100.0|2357.55|-4717457.55|-8861666.6395|0.09350863000000002
2024-03-08 08:17:00|1|94298000|0.00106041|99994.54217999999|49.99|99944.55217999998|-8761722.08732|0.09244822000000003
2024-03-08 08:32:00|1|94345000|0.00026203|24721.22035|12.36|24708.86035|-8737013.22697|0.09218619000000003
2024-03-08 08:32:00|1|94345000|0.00204745|193166.67025000002|96.58|193070.09025000004|-8543943.13672|0.09013874000000002
2024-03-08 08:32:00|1|94345000|9.248e-05|8725.025599999999|4.36|8720.665599999998|-8535222.47112|0.09004626000000002
2024-03-08 08:51:00|1|94115000|6.375e-05|5999.83125|2.99|5996.84125|-8529225.62987|0.08998251000000002
2024-03-08 08:51:00|1|94115000|0.00053126|49999.5349|24.99|49974.5449|-8479251.08497|0.08945125000000001
2024-03-08 09:16:00|1|94093000|0.04290885|4037422.42305|2018.71|4035403.71305|-4443847.371919999|0.04654240000000001
2024-03-08 09:16:00|1|94093000|0.00099618|93733.56473999999|46.86|93686.70473999999|-4350160.667179999|0.04554622000000001
2024-03-08 09:16:00|1|94093000|0.00609497|573494.01221|286.74|573207.27221|-3776953.394969999|0.039451250000000014
2024-03-08 09:18:00|0|94003000|0.05|4700150.0|2350.07|-4702500.07|-8479453.46497|0.08945125000000001
2024-03-08 09:21:00|0|94044000|0.0107|1006270.7999999999|503.13|-1006773.9299999999|-9486227.39497|0.10015125000000001
2024-03-08 09:33:00|1|94099000|0.05|4704950.0|2352.47|4702597.53|-4783629.8649699995|0.05015125000000001
2024-03-08 09:47:00|1|94210000|0.045|4239450.0|2119.72|4237330.28|-546299.5849699993|0.00515125000000001
2024-03-08 09:47:00|1|94228000|0.00512131|482570.79867999995|241.28|482329.5186799999|-63970.06628999935|2.994000000001041e-05
2024-03-08 09:48:00|0|94230000|0.05|4711500.0|2355.75|-4713855.75|-4777825.8162899995|0.050029940000000016
2024-03-08 09:48:00|0|94229000|0.05|4711450.0|2355.72|-4713805.72|-9491631.53629|0.10002994000000001
2024-03-08 10:01:00|1|94511000|0.05|4725550.0|2362.77|4723187.23|-4768444.306289999|0.05002994000000001
2024-03-08 10:03:00|0|94374000|0.05|4718700.0|2359.35|-4721059.35|-9489503.656289998|0.10002994000000001
2024-03-08 10:11:00|1|94439000|0.1|9443900.0|4721.95|9439178.05|-50325.6062899977|2.9940000000006073e-05
2024-03-08 10:18:00|1|94495000|0.0229|2163935.5|1081.96|2162853.54|2112527.9337100023|-0.022870059999999994
2024-03-08 10:18:00|0|94367000|0.0074|698315.8|349.15|-698664.9500000001|1413862.9837100022|-0.015470059999999994
2024-03-08 10:18:00|0|94368000|0.01546757|1459643.64576|729.82|-1460373.46576|-46510.482049997896|-2.489999999993886e-06
2024-03-08 10:27:00|0|94303000|0.05|4715150.0|2357.57|-4717507.57|-4764018.052049998|0.04999751000000001
2024-03-08 10:28:00|1|94374000|0.00819227|773137.28898|386.56|772750.7289799999|-3991267.323069998|0.04180524000000001
2024-03-08 10:28:00|1|94374000|0.04180773|3945562.7110200003|1972.78|3943589.9310200005|-47677.39204999758|-2.489999999993886e-06
2024-03-08 10:54:00|0|94344000|0.02261087|2133199.91928|1066.59|-2134266.50928|-2181943.9013299975|0.022608380000000008
